names,prices
3rd age pickaxe,2100000000.0
3rd age druidic robe top,2000000000.0
3rd age druidic robe bottoms,1900000000.0
Elysian sigil,1100000000.0
3rd age druidic cloak,1000000000.0
Twisted bow,1000000000.0
3rd age bow,944100000.0
Elysian spirit shield,886200000.0
3rd age druidic staff,557900000.0
Harmonised orb,500400000.0
3rd age axe,497200000.0
Scythe of vitur (uncharged),520700000.00000006
3rd age longsword,449600000.0
Inquisitor's mace,344000000.0
Inquisitor's armour set,301700000.0
3rd age cloak,215600000.0
3rd age wand,193100000.0
Arcane spirit shield,178000000.0
Bow of faerdhinen (inactive),167800000.0
Arcane sigil,181800000.0
Blade of saeldor (inactive),165200000.0
Enhanced crystal weapon seed,166900000.0
Ancestral robes set,167400000.0
Volatile orb,137000000.0
Ghrazi rapier,120800000.0
Inquisitor's plateskirt,118000000.0
Dragon armour set (lg),103700000.0
Kodai wand,100900000.0
Inquisitor's hauberk,104400000.0
Dragon armour set (sk),96900000.0
Spectral spirit shield,96400000.0
Kodai insignia,96300000.0
Spectral sigil,94300000.0
3rd age platebody,88800000.0
Dragon hunter crossbow,78100000.0
Dragon claws,79200000.0
Ancestral robe top,80300000.0
3rd age robe top,78100000.0
Dragon hunter lance,69400000.0
Inquisitor's great helm,76100000.0
Ancestral robe bottom,73500000.0
3rd age platelegs,68200000.0
Sanguinesti staff (uncharged),66099999.99999999
Dragon full helm,60900000.0
Hydra's claw,55300000.0
3rd age plateskirt,54000000.0
Eldritch orb,50400000.0
Dragon metal slice,45600000.0
Dragon kiteshield,43300000.0
Justiciar armour set,41900000.0
Amulet of eternal glory,43300000.0
Avernic defender hilt,39800000.0
Pegasian boots,41500000.0
Ranger boots,41800000.0
3rd age range top,42800000.0
Ring of endurance (uncharged),39800000.0
Armadyl chestplate,44200000.0
Dragon warhammer,37300000.0
Armadyl chainskirt,39400000.0
3rd age kiteshield,32400000.0
Armadyl crossbow,33600000.0
Imbued heart,31600000.0
3rd age robe,31400000.0
Nightmare staff,28100000.0
Staff of balance,28400000.0
Craw's bow (u),25800000.0
3rd age full helmet,25500000.0
Primordial boots,27000000.0
Primordial crystal,26100000.0
3rd age amulet,24600000.0
Bandos chestplate,25000000.0
Saradomin godsword,24400000.0
Ancient wyvern shield,24800000.0
Ankou top,22200000.0
Gilded dragonhide set,23200000.0
Saradomin hilt,22400000.0
Bandos tassets,21700000.0
Wyvern visage,21600000.0
Dragonfire ward,20000000.0
Dexterous prayer scroll,19100000.0
Ring of the gods,20200000.0
3rd age range legs,20400000.0
Abyssal bludgeon,21000000.0
Skeletal visage,20300000.0
Justiciar faceguard,18500000.0
Basilisk jaw,17000000.0
Gilded scimitar,16600000.000000002
Ancient relic,16000000.0
Swift blade,18400000.0
Zenyte amulet (u),14100000.0
Ring of coins,14000000.0
Gilded d'hide chaps,14600000.0
Gilded armour set (lg),15000000.0
Ring of nature,13500000.0
Twisted buckler,14500000.0
Bandos godsword,13200000.0
Zenyte amulet,12900000.0
Zenyte,12900000.0
Zenyte bracelet,12700000.0
Zamorakian hasta,13100000.0
Justiciar legguards,12200000.0
Zamorakian spear,12800000.0
Ring of suffering,13300000.0
Tormented bracelet,13300000.0
Amulet of torture,13200000.0
Necklace of anguish,13100000.0
Zenyte ring,12500000.0
Bandos hilt,12400000.0
Zenyte necklace,12000000.0
Ankou's leggings,11700000.0
Uncut zenyte,11300000.0
Elder maul,12000000.0
3rd age mage hat,11600000.0
Armadyl godsword,11300000.0
Justiciar chestguard,10700000.0
Dragon platebody ornament kit,11200000.0
Vesta's longsword,10000000.0
Statius's warhammer,10000000.0
Vesta's spear,10000000.0
Zuriel's staff,10000000.0
Gilded armour set (sk),10200000.0
Zenyte shard,10300000.0
Cape of skulls,10900000.0
Eternal gem,8900000.0
Ancestral hat,11800000.0
Dinh's bulwark,9500000.0
3rd age range coif,9100000.0
